code_insee,nom_standard,dep_code,dep_nom,reg_code,reg_nom,population,latitude_mairie,longitude_mairie,niveau_equipements_services_texte,url_wikipedia,priorite_analyse,statut_analyse,derniere_analyse,prochaine_analyse,commentaire_veille
44050,Crossac,44,Loire-Atlantique,52,Pays de la Loire,2974,47.411,-2.169,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Crossac,faible,jamais_analysee,,,
44192,Saint-Viaud,44,Loire-Atlantique,52,Pays de la Loire,2929,47.256,-2.019,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Saint-Viaud,faible,jamais_analysee,,,
44108,Mouzillon,44,Loire-Atlantique,52,Pays de la Loire,2893,47.14,-1.281,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Mouzillon,faible,jamais_analysee,,,
44010,Batz-sur-Mer,44,Loire-Atlantique,52,Pays de la Loire,2892,47.278,-2.478,centre intermédiaire d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Batz-sur-Mer,faible,jamais_analysee,,,
44022,Boussay,44,Loire-Atlantique,52,Pays de la Loire,2884,47.043,-1.187,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Boussay (Loire-Atlantique),faible,jamais_analysee,,,
44183,Saint-Molf,44,Loire-Atlantique,52,Pays de la Loire,2870,47.391,-2.425,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Saint-Molf,faible,jamais_analysee,,,
44127,La Planche,44,Loire-Atlantique,52,Pays de la Loire,2810,47.016,-1.435,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:La Planche,faible,jamais_analysee,,,
44077,Joué-sur-Erdre,44,Loire-Atlantique,52,Pays de la Loire,2797,47.496,-1.42,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Joué-sur-Erdre,faible,jamais_analysee,,,
44024,Brains,44,Loire-Atlantique,52,Pays de la Loire,2709,47.169,-1.722,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Brains,faible,jamais_analysee,,,
44178,Saint-Mars-de-Coutais,44,Loire-Atlantique,52,Pays de la Loire,2698,47.112,-1.734,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Saint-Mars-de-Coutais,faible,jamais_analysee,,,
44125,Piriac-sur-Mer,44,Loire-Atlantique,52,Pays de la Loire,2685,47.379,-2.546,centre intermédiaire d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Piriac-sur-Mer,faible,jamais_analysee,,,
44205,Les Touches,44,Loire-Atlantique,52,Pays de la Loire,2638,47.442,-1.432,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Les Touches,faible,jamais_analysee,,,
44027,Casson,44,Loire-Atlantique,52,Pays de la Loire,2605,47.387,-1.558,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Casson,faible,jamais_analysee,,,
44046,Corsept,44,Loire-Atlantique,52,Pays de la Loire,2594,47.278,-2.058,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Corsept,faible,jamais_analysee,,,
44048,Couffé,44,Loire-Atlantique,52,Pays de la Loire,2535,47.392,-1.292,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Couffé,faible,jamais_analysee,,,
44189,Sainte-Reine-de-Bretagne,44,Loire-Atlantique,52,Pays de la Loire,2484,47.444,-2.192,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Sainte-Reine-de-Bretagne,faible,jamais_analysee,,,
44083,La Limouzinière,44,Loire-Atlantique,52,Pays de la Loire,2459,46.992,-1.596,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:La Limouzinière,faible,jamais_analysee,,,
44007,Avessac,44,Loire-Atlantique,52,Pays de la Loire,2452,47.655,-1.989,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Avessac,faible,jamais_analysee,,,
44165,Saint-Hilaire-de-Clisson,44,Loire-Atlantique,52,Pays de la Loire,2423,47.062,-1.307,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Saint-Hilaire-de-Clisson,faible,jamais_analysee,,,
44164,Saint-Hilaire-de-Chaléons,44,Loire-Atlantique,52,Pays de la Loire,2422,47.103,-1.863,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Saint-Hilaire-de-Chaléons,faible,jamais_analysee,,,
44174,Saint-Lumine-de-Coutais,44,Loire-Atlantique,52,Pays de la Loire,2396,47.056,-1.726,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Saint-Lumine-de-Coutais,faible,jamais_analysee,,,
44100,Monnières,44,Loire-Atlantique,52,Pays de la Loire,2388,47.132,-1.355,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Monnières (Loire-Atlantique),faible,jamais_analysee,,,
44144,Riaillé,44,Loire-Atlantique,52,Pays de la Loire,2365,47.518,-1.296,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Riaillé,faible,jamais_analysee,,,
44111,Notre-Dame-des-Landes,44,Loire-Atlantique,52,Pays de la Loire,2360,47.38,-1.711,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Notre-Dame-des-Landes,faible,jamais_analysee,,,
44053,Drefféac,44,Loire-Atlantique,52,Pays de la Loire,2288,47.477,-2.057,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Drefféac,faible,jamais_analysee,,,
44057,Fégréac,44,Loire-Atlantique,52,Pays de la Loire,2243,47.586,-2.042,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Fégréac,faible,jamais_analysee,,,
